	review_id	asin	reviewer_id	category	num_sentence	sentence	tip	type	standalone	before/after	extend_position	sen_length
19	6	735308365	A2D3BT3VQLI1DA	Toys & Games	5	The ring that holds the card together is kind of flimsy.	1.0	Warning	yes	before	before	11
20	6	735308365	A2D3BT3VQLI1DA	Toys & Games	6	There is value in having the cards be detachable but I almost wish the ring was more permanent.	1.0	Warning	no	before	after	18
80	20	913866687	A3KWAN5J031OOU	Toys & Games	1	Definitely not a game for young children.	1.0	Population segment	yes	before		7
115	24	974665207	A1BPEOEXWUJ7KM	Toys & Games	4	The book does get some residue on it after each use, but that would come clean with some water or windex.	1.0	Maintenance	yes	after		21
233	45	1384719342	A2C00NNG1ZQQG2	Musical Instruments	2	Only thing is that the gooseneck is only marginally able to hold the screen in position and requires careful positioning of the clamp to avoid sagging.	1.0	First time use	yes	both		26
360	68	1589781066	A6VY3JUKZYZNX	Toys & Games	2	Bad: The mechanics of the expeditions are not easy for some players to understand.	1.0	Warning	no	before		14
416	71	158994030X	A3FKAZNKWZ3Y5D	Toys & Games	17	Also, you must get sleeves for the character cards.	1.0	Maintenance	yes	after		9
460	73	1589942108	A5FSPUNT7OI0H	Toys & Games	3	Word of warning, though, if youre new to more complex board games, this ones a doozy, but dont let that scare you away from the game.	1.0	Warning	yes	before		26
650	87	1589947061	A3M7Q456YHHMH2	Toys & Games	16	Pros:Co-opNot super difficult to learnNice themeCons:Very luck-heavyNot very many significant decisions to make	1.0	Warning	yes	before		13
659	89	1589949811	A39Y8PD8Y9BA5H	Toys & Games	7	The game is quite text heavy with fiddly texts, and those that arent really into board games might not get a kick out of it.	1.0	Usage	yes	before		25
824	115	1616615044	A2Y96MUF4VWAOW	Toys & Games	3	I recommend this game to anyone who loves mystery.	1.0	Population segment	yes	before		9
1058	159	8499002323	APZMW24EELJ3M	Toys & Games	4	Considering its size and the material it is made with, I have to closely monitor my child while he is using it.	1.0	Warning	yes	after		22
1059	159	8499002323	APZMW24EELJ3M	Toys & Games	5	If you are purchasing this for a young child, you may want to consider a different item.	1.0	Warning	yes	before		17
1075	163	9269806723	A2FZQF0MH29VYN	Toys & Games	6	I did have to buy an adapter to charge the Traxxas connectors.	1.0	Complementary product	no	both		12
1098	166	9269808955	A39IDAUEE4VEFZ	Toys & Games	8	I would definitely advise you to buy a few spares.	1.0	Warning	yes	both		10
1216	184	B00000ELZ5	A1II9F7V7C5EE0	Sports & Outdoors	13	They are NOT made to be dropped!!!	1.0	Warning	yes	both		7
1242	186	B00000IRMM	A1MFIVHYJS11WY	Toys & Games	5	So whats wrong with it?The numbers are not very dark so it is difficult to read it in both dim conditions and in bright light.	1.0	Warning	yes	before		26
1246	186	B00000IRMM	A1MFIVHYJS11WY	Toys & Games	9	The problem is that the lines have fairly large spaces between them which make the numbers oddly formed.	1.0	Warning	yes	before		18
1263	188	B00000IRTS	A3L2AQGJLCSLFB	Toys & Games	6	One of the front yellow pieces would NOT fit in the red car part.	1.0	Workaround	yes	after		14
1281	192	B00000IRYI	A2WS6FMF750EI9	Toys & Games	2	Definitely for ages four and up for independent use.	1.0	Population segment	yes	before		9
1313	198	B00000IS0P	A9WCOZTW6FNY	Toys & Games	2	But I am quite disappointed in the quality of sound.	1.0	Warning	yes	before		10
1353	209	B00000ISUK	A3KY68OTSNHM3G	Toys & Games	2	Once out of the box, we were frustrated with the number of small parts, such as the tiny plastic balls which are used in the loader.	1.0	Warning	no	after		26
1415	222	B00000IUFA	A3B86I1032MTQ3	Toys & Games	5	Yes the little cards are not the strongest cardboard they could have used and that is my only complain.	1.0	Workaround	yes	after		19
1512	233	B00000IV3U	A3LOVYOYGXZEZV	Toys & Games	5	After the looming is done, when you get to the finishing part where you are working with braiding the end, (if a kid is the one creating the pot holder) the child will probably need an adults help because the loops easily come off the end of the loom and that can be frustrating for young kids.	1.0	Warning	yes	after		57
1533	236	B00000IV8B	A2QDFKU0CZ9ZX9	Toys & Games	4	Theyre made of cardboard, so make sure they dont get too wet.	1.0	Warning	yes	both		12
1582	245	B00000IWD3	A29L4QWSIXKRE3	Toys & Games	1	This is a neat game and the concept is great however, it can end up being very, very, very long!	1.0	Warning	yes	before		20
1587	245	B00000IWD3	A29L4QWSIXKRE3	Toys & Games	6	Still a great game that teaches numbers, counting, and ever a little bit of colors... if you have the patience.	1.0	Alternative use	yes	both		20
1651	256	B00000IZQX	ADX9NTN40T1HN	Toys & Games	6	So please dont get too comfortable with the name of the toy, a toddler can still fall over and hurt himself/herself.	1.0	Warning	yes	both		20
1672	260	B00000J3LL	A30H2335OM7RD6	Baby	4	If you sew you can make one that is more directed to your child.	1.0	Workaround	yes	after		14
1695	264	B00000J50C	AC4FUX25LEHIP	Toys & Games	5	We use them to learn animals, numbers, letters and symbols.	1.0	Usage	yes	both		10
1795	282	B0000206G9	A2LOD3K7460UB	Toys & Games	2	He absolutely loves the ball pit; however, you will want more than 50 balls.	1.0	Complementary product	yes	both		13
1822	285	B0000222V1	A14JBDSWKPKTZA	Tools & Home Improvement	3	They work in the Dewalts, Makitas, or course the Porter Cables, as the description says, but they also work in the Fein Rt-1800, and with the Bosch routers as well with the adapter.	1.0	Other	yes	both		32
1842	287	B0000222V9	A3GFEC3CFRS5NN	Tools & Home Improvement	5	"I added a strip of 3/4"" wide 6"" long aluminum bar stock to the edge to strengthen it up and provide a single linear surface for smoother operation on smaller stock."	1.0	Workaround	yes	after		29
1886	293	B0000222X8	A10BC5NHJXLZL0	Tools & Home Improvement	5	The quick release is a big plus, just be sure the blade is seated properly and fully before proceeding.	1.0	Usage	yes	after		19
1900	295	B0000222XC	A3MR51MDYU0KXJ	Tools & Home Improvement	7	I do recommend upgrading the sanding shoe and I wish porter cable offered that as a standard.	1.0	Complementary product	yes	both		17
1912	296	B0000222XD	A14JBDSWKPKTZA	Tools & Home Improvement	9	Quiet-you do not have to wear ear protection to use this.	1.0	Usage	no	after		10
1915	296	B0000222XD	A14JBDSWKPKTZA	Tools & Home Improvement	12	You dont have to push down on the unit, in order to get the job done.	1.0	Usage	yes	after		16
1916	296	B0000222XD	A14JBDSWKPKTZA	Tools & Home Improvement	13	To those who mention that you have to keep an eye on the machine, because it can take away too much material too fast, that is because they are using a coarser grit than is required for the task.	1.0	Usage	no	after		39
1935	297	B0000222XM	A3FRZ57D9TH2D3	Tools & Home Improvement	5	But then I realized that the rubber profile had a powder-like substance on them, a residue of the manufacturing process.	1.0	Maintenance	no	after		19
1941	297	B0000222XM	A3FRZ57D9TH2D3	Tools & Home Improvement	11	Just make sure that they are fully seated in the holder clip that grips the profiles.	1.0	Usage	no	after		16
1942	297	B0000222XM	A3FRZ57D9TH2D3	Tools & Home Improvement	12	Also, for additional sticking power on the adhesive-backed sandpaper, I recommend that you run the paper up the sides of the profile to almost the edge of the clip that holds the profile.	1.0	Usage	yes	after		32
1944	297	B0000222XM	A3FRZ57D9TH2D3	Tools & Home Improvement	14	The smaller pieces will clog faster than the large pieces of sandpaper on, say a 6-inch random orbital sander.	1.0	Usage	yes	after		18
1950	297	B0000222XM	A3FRZ57D9TH2D3	Tools & Home Improvement	20	A new, properly cut piece applied and no more black streaks.	1.0	Warning	no	after		11
1993	304	B0000222Z4	A1U2XQJF9QQ7JS	Tools & Home Improvement	1	Ergonomics are not at good at the 309 (that gave up the ghost after close to 30 years), the cord and switch are oddly placed, to it always feels a little irritating to use and set up.	1.0	Warning	yes	before		35
2027	310	B0000222ZN	A304GUEPCPYM3Z	Tools & Home Improvement	1	This is a nice accessory to have, if you already own a DeWalt battery pack and the charger.	1.0	Complementary product	yes	before		18
2028	310	B0000222ZN	A304GUEPCPYM3Z	Tools & Home Improvement	2	Basically, that would limit my recommendation of this product to those who already own a cordless 14.4 volt DeWalt tool.	1.0	Population segment	yes	before		19
2041	310	B0000222ZN	A304GUEPCPYM3Z	Tools & Home Improvement	15	I highly recommend this high quality light to those who already own a DeWalt tool that uses the 14.4 volt battery pack.	1.0	Population segment	yes	before		21
2134	322	B00002231V	A23CI4YSY7M64H	Tools & Home Improvement	13	The torque on this saw is so strong that it will really twist in your hand when you pull the trigger.	1.0	Usage	no	before		21
2176	328	B00002232Z	A3F4G1G2RLUNZB	Tools & Home Improvement	4	I ended up having to put a self-tapping screw in it, which I then have to undo before emptying the bag.	1.0	Workaround	no	both		20
2178	328	B00002232Z	A3F4G1G2RLUNZB	Tools & Home Improvement	6	Second, the bigger problem is that the random-orbit mechanism appears to have failed after only about four hours of use.	1.0	Warning	yes	before		19
2251	337	B00002238H	A3DJZ96BIN2JH	Tools & Home Improvement	6	One safety flaw in the Base: it doesnt appear that the mounting hole patterns in the Base & Jointer were designed to match up.	1.0	Warning	yes	before		23
2253	337	B00002238H	A3DJZ96BIN2JH	Tools & Home Improvement	8	The top-heavy Jointer should be bolted to the Mobile Base at all 4 corners because otherwise, the Jointer could tip over if you hit a bump moving it around or in the event of a mild earthquake.	1.0	Warning	yes	before		35
2274	341	B0000223B4	A33VN1772RI44Z	Tools & Home Improvement	8	So, Id sharpen the chisels (using a diamond cone purchased from Rockler) again and again.	1.0	Complementary product	yes	before		15
2279	341	B0000223B4	A33VN1772RI44Z	Tools & Home Improvement	13	Perhaps as time passes, I will upgrade the chisels.	1.0	Usage	yes	both		9
2404	355	B0000223GL	A19D2SBM4FLBT7	Tools & Home Improvement	11	After fiddling with the motor and base a while, I found that a small amount of lubrication between the motor and base works wonders - the motor becomes easy to put in and take out.	1.0	Workaround	yes	after		34
2630	369	B0000223IT	A33QFZUZ8YHYX	Tools & Home Improvement	10	One point I must make, however; I used a genaric brand hook and loop type sanding pads.	1.0	Usage	no	after		17
